,0,1,text_no_punct,text_tokenized,text_no_sw,text_lem
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,"['six', 'chances', 'to', 'win', 'cash', 'from', '100', 'to', '20000', 'pounds', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']","['chances', 'win', 'cash', '100', '20000', 'pounds', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']","['chance', 'win', 'cash', '100', '20000', 'pound', 'txt', 'send', '87575', 'cost', '16', 'tsandc', 'apply', 'reply', 'hl', '4', 'info']"
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a 1 week free membership in our £100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '£100000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'won', '1', 'week', 'free', 'membership', '£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'won', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox']"
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['I', 've', 'search', 'right', 'word', 'thank', 'breather', 'promise', 'will', 'not', 'help', 'grant', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']"
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['date', 'sunday']","['date', 'sunday']"
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
16,ham,Oh k...i'm watching here:),oh kim watching here,"['oh', 'kim', 'watching', 'here']","['oh', 'kim', 'watching']","['oh', 'kim', 'watch']"
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,"['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'remember', '2', 'spell', 'yes', 'v', 'naughty', 'v', 'wet']","['eh', 'u', 'remember', '2', 'spell', 'yes', 'v', 'naughty', 'v', 'wet']"
18,ham,Fine if thats the way u feel. Thats the way its gota b,fine if thats the way u feel thats the way its gota b,"['fine', 'if', 'that\x92s', 'the', 'way', 'u', 'feel', 'that\x92s', 'the', 'way', 'its', 'gota', 'b']","['fine', 'that\x92s', 'way', 'u', 'feel', 'that\x92s', 'way', 'gota', 'b']","['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']"
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtú120 poboxox36504w45wq 16,"['england', 'v', 'macedonia', '', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', '', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'do', 'not', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywale', 'scotland', '16']"
20,ham,Is that seriously how you spell his name?,is that seriously how you spell his name,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['seriously', 'spell']","['seriously', 'spell']"
21,ham,I‘m going to try for 2 months ha ha only joking,i‘m going to try for 2 months ha ha only joking,"['i‘m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['i‘m', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']","['go', 'try', '2', 'month', 'ha', 'ha', 'joke']"
22,ham,So ü pay first lar... Then when is da stock comin...,so ü pay first lar then when is da stock comin,"['so', 'ü', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['ü', 'pay', 'lar', 'da', 'stock', 'comin']","['ü', 'pay', 'lar', 'da', 'stock', 'comin']"
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch']","['aft', 'finish', 'lunch', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch']"
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'meet', 'soon']"
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['forced', 'eat', 'slice', 'im', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']","['force', 'eat', 'slice', 'I', 'm', 'hungry', 'tho', 'suck', 'mark', 'get', 'worried', 'know', 'I', 'm', 'sick', 'turn', 'pizza', 'lol']"
26,ham,Lol your always so convincing.,lol your always so convincing,"['lol', 'your', 'always', 'so', 'convincing']","['lol', 'convincing']","['lol', 'convincing']"
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,"['did', 'you', 'catch', 'the', 'bus', '', 'are', 'you', 'frying', 'an', 'egg', '', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', '', 'do', 'you', 'feel', 'my', 'love', '']","['catch', 'bus', '', 'frying', 'egg', '', 'tea', 'eating', 'moms', 'left', 'dinner', '', 'feel', 'love', '']","['catch', 'bus', 'frying', 'egg', 'tea', 'eat', 'mom', 'leave', 'dinner', 'feel', 'love']"
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['im', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'theres', 'room']","['I', 'm', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 's', 'room']"
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']"
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['wait', 'thats', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live']","['wait', 'that', 's', 'clear', 'sure', 'sarcastic', 'that', 's', 'x', 'do', 'not', 'want', 'live']"
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you ,"['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', '2', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you', '']","['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'badly', 'cheers', '']","['yeah', 'get', '2', 'v', 'apologetic', 'n', 'fall', 'actin', 'like', 'spoilt', 'child', 'get', 'catch', 'till', '2', 'will', 'not', 'badly', 'cheer']"
32,ham,K tell me anything about you.,k tell me anything about you,"['k', 'tell', 'me', 'anything', 'about', 'you']","['k', 'tell']","['k', 'tell']"
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']","['fear', 'fainting', 'housework', 'quick', 'cuppa']"
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged £5month please confirm by replying yes or no if you reply no you will not be charged,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '£5month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']","['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '£5month', 'confirm', 'replying', 'yes', 'reply', 'charged']","['thank', 'subscription', 'ringtone', 'uk', 'mobile', 'charge', 'confirm', 'replying', 'yes', 'reply', 'charge']"
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ü again xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'ü', 'again', 'xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']","['yup', 'ok', 'home', 'look', 'timings', 'msg', 'ü', 'xuhui', 'going', 'learn', '2nd', 'lesson', '8am']","['yup', 'ok', 'home', 'look', 'timing', 'msg', 'ü', 'xuhui', 'go', 'learn', 'lesson', '8', 'am']"
36,ham,"Oops, I'll let you know when my roommate's done",oops ill let you know when my roommates done,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']","['oops', 'ill', 'let', 'know', 'roommates']","['oop', 'ill', 'let', 'know', 'roommate']"
37,ham,I see the letter B on my car,i see the letter b on my car,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']","['letter', 'b', 'car']","['letter', 'b', 'car']"
38,ham,Anything lor... U decide...,anything lor u decide,"['anything', 'lor', 'u', 'decide']","['lor', 'u', 'decide']","['lor', 'u', 'decide']"
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']","['hello', 'hows', 'saturday', 'texting', 'youd', 'decided', 'tomo', 'im', 'trying', 'invite']","['hello', 'how', 's', 'saturday', 'texte', 'you', 'd', 'decide', 'tomo', 'I', 'm', 'try', 'invite']"
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']","['pls', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","['pls', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']"
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,"['did', 'i', 'forget', 'to', 'tell', 'you', '', 'i', 'want', 'you', '', 'i', 'need', 'you', 'i', 'crave', 'you', '', 'but', 'most', 'of', 'all', '', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', '', 'mmmmmm', '', 'yummy']","['forget', 'tell', '', 'want', '', 'need', 'crave', '', '', 'love', 'sweet', 'arabian', 'steed', '', 'mmmmmm', '', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,"['07732584351', '', 'rodger', 'burns', '', 'msg', '', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', '', 'free', 'camcorder', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']","['07732584351', '', 'rodger', 'burns', '', 'msg', '', 'tried', 'reply', 'sms', 'free', 'nokia', 'mobile', '', 'free', 'camcorder', '08000930705', 'delivery', 'tomorrow']","['07732584351', 'rodger', 'burn', 'msg', 'try', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', '08000930705', 'delivery', 'tomorrow']"
43,ham,WHO ARE YOU SEEING?,who are you seeing,"['who', 'are', 'you', 'seeing']",['seeing'],['see']
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am  ltgt  inches,"['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'i', 'am', '', 'ltgt', '', 'inches']","['great', 'hope', 'like', 'man', 'endowed', '', 'ltgt', '', 'inches']","['great', 'hope', 'like', 'man', 'endowed', 'ltgt', 'inch']"
45,ham,No calls..messages..missed calls,no callsmessagesmissed calls,"['no', 'callsmessagesmissed', 'calls']","['callsmessagesmissed', 'calls']","['callsmessagesmissed', 'call']"
46,ham,Didn't you get hep b immunisation in nigeria.,didnt you get hep b immunisation in nigeria,"['didnt', 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria']","['didnt', 'hep', 'b', 'immunisation', 'nigeria']","['do', 'not', 'hep', 'b', 'immunisation', 'nigeria']"
47,ham,"Fair enough, anything going on?",fair enough anything going on,"['fair', 'enough', 'anything', 'going', 'on']","['fair', 'going']","['fair', 'go']"
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler cant do it i could maybe ask around a bit,"['yeah', 'hopefully', 'if', 'tyler', 'cant', 'do', 'it', 'i', 'could', 'maybe', 'ask', 'around', 'a', 'bit']","['yeah', 'hopefully', 'tyler', 'cant', 'maybe', 'ask', 'bit']","['yeah', 'hopefully', 'tyler', 'can', 'not', 'maybe', 'ask', 'bit']"
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,"['u', 'dont', 'know', 'how', 'stubborn', 'i', 'am', 'i', 'didnt', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'i', 'kept', 'telling', 'mark', 'im', 'not', 'a', 'weak', 'sucker', 'hospitals', 'are', 'for', 'weak', 'suckers']","['u', 'dont', 'know', 'stubborn', 'didnt', 'want', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospitals', 'weak', 'suckers']","['u', 'do', 'not', 'know', 'stubborn', 'do', 'not', 'want', 'hospital', 'keep', 'tell', 'mark', 'I', 'm', 'weak', 'sucker', 'hospital', 'weak', 'sucker']"
50,ham,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me in class,"['what', 'you', 'thinked', 'about', 'me', 'first', 'time', 'you', 'saw', 'me', 'in', 'class']","['thinked', 'time', 'saw', 'class']","['think', 'time', 'see', 'class']"
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,"['a', 'gram', 'usually', 'runs', 'like', '', 'ltgt', '', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for', '', 'ltgt']","['gram', 'usually', 'runs', 'like', '', 'ltgt', '', 'half', 'eighth', 'smarter', 'gets', 'second', 'gram', '', 'ltgt']","['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smart', 'get', 'second', 'gram', 'ltgt']"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,"['k', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', 'hes', 'crashing', 'at', 'our', 'place', 'tonight']","['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']","['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'he', 's', 'crash', 'place', 'tonight']"
